Nome Aceito,Sinônimo
Paspalum glaucescens
Trichanthecium parvifolium,Panicum parvifolium
Elephantopus mollis
Hydrocleys martii
Cipura paludosa
Aciotis acuminifolia
Desmodium tortuosum
Melasma melampyroides
Hyptis caespitosa
Ipomoea batatas
Triumfetta althaeoides
Clidemia capitellata
Cantinoa mutabilis,Hyptis mutabilis
Ludwigia multinervia
Scoparia montevidensis
Hebanthe pulverulenta,Pfaffia pulverulenta
Paspalum densum
Conyza bonariensis
Trichanthecium nervosum
Reimarochloa brasiliensis
Ipomoea subrevoluta
Acalypha arvensis
Trichanthecium pyrularium
Cardamine bonariensis
Andropogon selloanus
Vernonanthura brasiliana
Euploca procumbens,Heliotropium procumbens
Drosera intermedia
Urochloa mutica,Brachiaria mutica
Paspalum morichalense
Andropogon bicornis
Hydrolea elatior
Helanthium tenellum,Echinodorus tenellus
Nymphaea oxypetala
Echinodorus grandiflorus,Echinodorus argentinensis
Scoparia dulcis
Olyra ecaudata
Conobea aquatica
Echinodorus paniculatus
Eleocharis geniculata
Cyperus flavescens,Cyperus polystachyus,Pycreus flavescens
Operculina hamiltonii
Sagittaria sprucei
Stemodia durantifolia
Cyperus lanceolatus
Mandevilla clandestina
Heliotropium indicum
Odontadenia nitida
Rhynchospora gigantea
Chloris exilis
Symphyotrichum squamatum,Aster squamatus
Cotula coronopifolia
Juncus scirpoides
Ludwigia peploides
Syngonanthus anomalus
Fimbristylis dichotoma,Fimbristylis diphylla
Noterophila limnobios,Acisanthera limnobios
Paspalidium geminatum,Paspalidium paludivagum
Vernonanthura beyrichii
Wolffiella lingulata
Cyperus barrosianus
Fevillea trilobata
Rhynchospora marisculus
Mayaca longipes
Ludwigia erecta
Heliconia marginata
Nymphaea lingulata
Allamanda cathartica
Rhabdadenia madida
Clitoria guianensis
Mikania cordifolia
Eleocharis atropurpurea
Hibiscus sororius
Glinus radiatus
Stemodia maritima
Hyptis dilatata
Hydrocotyle leucocephala
Egeria najas
Rhynchospora velutina
Sida spinosa
Eleocharis sellowiana
Caperonia castaneifolia
Otachyrium versicolor
Miconia chamissois
Habenaria nuda
Utricularia trichophylla
Hydrocleys nymphoides
Androtrichum trigynum,Scirpus giganteus
Andropogon virgatus
Mimosa pigra
Lobelia exaltata
Lindernia rotundifolia
Coutoubea ramosa
Canna glauca
Eleocharis mutata
Hibiscus bifurcatus
Bacopa salzmannii
Sacciolepis vilvoides
Chamaecrista hispidula
Curculigo scorzonerifolia
Schiekia orinocensis
Hydrocotyle verticillata
Cyperus hortensis,Kyllinga pumila
Cabomba haynesii
Melochia simplex
Gamochaeta americana
Luziola bahiensis
Leiothrix pilulifera
Eryngium ebracteatum
Leandra multiplinervis
Cyperus cornelii-ostenii
Waltheria indica,Waltheria americana
Habenaria inconspicua
Sagittaria planitiana
Cynodon dactylon
Ipomoea aquatica
Ipomoea cynanchifolia
Aeschynomene americana
Paspalum trichophyllum
Teramnus volubilis
Pleroma semidecandrum,Tibouchina semidecandra
Megathyrsus maximus,Panicum maximum
Chamissoa altissima
Echinodorus grisebachii
Erechtites hieracifolius
Cyperus salzmannianus,Lipocarpha salzmanniana
Rhynchospora corymbosa
Cordia superba
Sidastrum multiflorum
Aeschynomene sensitiva
Goeppertia lanata,Calathea lanata
Lilaeopsis brasiliensis
Discolobium pulchellum
Dalechampia tiliifolia
Lindernia diffusa
Urochloa plantaginea,Brachiaria plantaginea
Pleonotoma clematis
Eleocharis flavescens
Cyperus uncinulatus
Anthephora hermaphrodita
Crinum americanum
Lobelia aquatica
Zornia latifolia
Dioscorea marginata
Rhynchanthera novemnervia
Alternanthera philoxeroides
Ludwigia octovalvis
Carex brasiliensis
Salicornia fruticosa,Salicornia gaudichaudiana
Paspalum orbiculatum
Sorghastrum setosum
Habenaria nabucoi
Centella asiatica
Eragrostis bahiensis
Cyperus papyrus
Cyperus macrostachyos,Pycreus macrostachyos
Paratheria prostrata
Microlicia myrtoidea
Ipomoea cairica
Otachyrium succisum
Halodule emarginata
Tibouchina aspera
Coix lacryma-jobi
Spigelia anthelmia
Schultesia benthamiana
Victoria amazonica
Sida galheirensis
Aeschynomene ciliata
Oryza sativa
Ludwigia hyssopifolia
Angelonia salicariifolia,Angelonia gardneri
Tibouchina sebastianopolitana
Louisiella elephantipes,Panicum elephantipes
Eriochloa punctata
Imperata brasiliensis
Baccharis penningtonii
Mimosa debilis
Inga vera,Inga affinis,Inga uruguensis
Dicliptera ciliaris
Piriqueta racemosa
Sesuvium portulacastrum
Ipomoea setosa
