Lemna aequinoctialis,NOME_ACEITO,Lemna aequinoctialis
Lemna gibba,NOME_ACEITO,Lemna gibba
Lemna minuta,NOME_ACEITO,Lemna minuta
Lemna valdiviana,NOME_ACEITO,Lemna valdiviana
Montrichardia arborescens,NOME_ACEITO,Montrichardia arborescens
Philodendron brasiliense,NOME_ACEITO,Philodendron brasiliense
Philodendron rudgeanum,NOME_ACEITO,Philodendron rudgeanum
Pistia stratiotes,NOME_ACEITO,Pistia stratiotes
Spirodela intermedia,SINONIMO,Spirodela punctata
Urospatha sagittifolia,NOME_ACEITO,Urospatha sagittifolia
Wolffia arrhiza,NOME_ACEITO,Wolffia arrhiza
Wolffia brasiliensis,NOME_ACEITO,Wolffia brasiliensis
Wolffia columbiana,NOME_ACEITO,Wolffia columbiana
Wolffiella lingulata,NOME_ACEITO,Wolffiella lingulata
Wolffiella welwitschii,NOME_ACEITO,Wolffiella welwitschii
Xanthosoma acutum,NOME_ACEITO,Xanthosoma acutum
Zantedeschia aethiopica,NOME_ACEITO,Zantedeschia aethiopica
Hydrocotyle bonariensis,NOME_ACEITO,Hydrocotyle bonariensis
Hydrocotyle leucocephala,NOME_ACEITO,Hydrocotyle leucocephala
Hydrocotyle ranunculoides,NOME_ACEITO,Hydrocotyle ranunculoides
Hydrocotyle verticillata,NOME_ACEITO,Hydrocotyle verticillata
Bactris maraja,NOME_ACEITO,Bactris maraja
Mauritia carana,NOME_ACEITO,Mauritia carana
Mauritiella armata,NOME_ACEITO,Mauritiella armata
Aristolochia macroura,NOME_ACEITO,Aristolochia macroura
Acanthospermum australe,NOME_ACEITO,Acanthospermum australe
Acanthospermum hispidum,NOME_ACEITO,Acanthospermum hispidum
Achyrocline alata,NOME_ACEITO,Achyrocline alata
Acmella uliginosa,NOME_ACEITO,Acmella uliginosa
Adenostemma brasilianum,NOME_ACEITO,Adenostemma brasilianum
Ageratum conyzoides,NOME_ACEITO,Ageratum conyzoides
Ambrosia acanthicarpa,NOME_ACEITO,Ambrosia acanthicarpa
Aster squamatus,NOME_ACEITO,Aster squamatus
Baccharis microcephala,NOME_ACEITO,Baccharis microcephala
Baccharis penningtonii,NOME_ACEITO,Baccharis penningtonii
Baccharis spicata,NOME_ACEITO,Baccharis spicata
Baccharis acaulis,NOME_ACEITO,Baccharis acaulis
Baccharidastrum argentum,NOME_ACEITO,Baccharidastrum argentum
Barrosoa betonicaeformis,NOME_ACEITO,Barrosoa betonicaeformis
Bidens laevis,NOME_ACEITO,Bidens laevis
Blainvillea dichotoma,NOME_ACEITO,Blainvillea dichotoma
Centratherum punctatum,NOME_ACEITO,Centratherum punctatum
Calea marginata,NOME_ACEITO,Calea marginata
Campuloclinium purpurascens,NOME_ACEITO,Campuloclinium purpurascens
Chaptalia graminifolia,NOME_ACEITO,Chaptalia graminifolia
Chrysolaena platensis,NOME_ACEITO,Chrysolaena platensis
Clibadium acuminatum,NOME_ACEITO,Clibadium acuminatum
Conyza sumatrensis,NOME_ACEITO,Conyza sumatrensis
Cotula coronopifolia,NOME_ACEITO,Cotula coronopifolia
Delilia biflora,NOME_ACEITO,Delilia biflora
Eclipta megapotamica,NOME_ACEITO,Eclipta megapotamica
Eclipta prostrata,NOME_ACEITO,Eclipta prostrata
Egletes viscosa,NOME_ACEITO,Egletes viscosa
Elephantopus mollis,NOME_ACEITO,Elephantopus mollis
