Pistia,stratioides,Not Found
Wollffiella,oblonga,Not Found
Xanthosoma,aristiguietae,Not Found
Zantedeschia,aethiopica,Not Found
Hydrolotyle,pussilla,Not Found
Roullinia,montevidensis,Not Found
Acilepdopsis,echitifolia,Not Found
Ambrosia,artemisiaefolia,Not Found
Baccharidastrum,triplinerve,Not Found
Clibadium,amanii,Not Found
Enydra,sessilis,Not Found
Enydra,virularis,Not Found
Erechtites,hieracifolia,Not Found
Erigeron,maximus,Not Found
Eupatorium,bupleurifolium,Not Found
Eupatorium,subhastatum,Not Found
Eupatorium,tremulum,Not Found
Eupatorium,tweedianum,Not Found
Gnaphalium,spicatum,Not Found
Senecio,mattfeldianus,Not Found
Impatiens,wallerana,Not Found
Begonia fischeri,Schrank,Not Found
Nasturtium,officinale,Not Found
Siphocampylus,sulfereus,Not Found
Canna,xgeneralis,Not Found
Callisia filiformis,(M.Martens,Not Found
Commelina diffusa,Burm.f.,Not Found
Commelina obliqua,Vahl,Not Found
Anisea,cernua,Not Found
Aniseia,martinicensis(Jacq.),Not Found
Evolvulus,pohlli,Not Found
Ipomoea,asaralifolia,Not Found
Ipomoea asarifolia,(Desr.),Not Found
Costus,spirales,Not Found
Eleocharis,equisetoides,Not Found
Eleocharis,umbellata,Not Found
Oxycaryum cubense,(Poepp.,Not Found
Scirpus,americanus,Not Found
Scleria,soronia,Not Found
Equisetum,hyemale,Not Found
Caperonia,histrix,Not Found
Euphorbia hirta,L.,Not Found
Euphorbia hyssopifolia,L.,Not Found
Sesbania,schottiana,Not Found
Aeschynomene,indica,Not Found
"""Aeschynomene",virginica,Not Found
Crotalaria,brevifolia,Not Found
Dalbergia,ecastophyllum,Not Found
Discolobium,psoraliaefolium,Not Found
Neptunia plena,(L.),Not Found
Senna obtusifolia,(L.),Not Found
Stylosanthes scabra,Vogel,Not Found
Coutoubea spicata,Aubl.,Not Found
Schultesia gracilis,Mart.,Not Found
Schultesia,optera,Not Found
Hydrilla,verticillata,Not Found
Najas,argurta,Not Found
Isoetes,ekmanii,Not Found
Hyptis,lantaniifolia,Not Found
Hyptis,vilis,Not Found
Scutellaria,minor,Not Found
