Dicliptera ciliaris Juss.
Dyschoriste maranhonis Kuntze
Hygrophila costata Nees
Hygrophila guianensis Nees
Hygrophila helodes Nees 
Justicia comata (L.) Lam.
Justicia aequilabris (Nees) Lindau
Justicia laevilinguis (Nees) Lindau
Justia pectoralis Jacq.
Nelsonia brunelloides (Lam.) Kuntz
Ruellia bahiensis (Nees) Morong
Ruellia paniculata L. 
Sesuvium portulacastrum (L.) L. 
Echinodorus andrieuxii (Hook et Arn.) Smal
Echinodorus argentinensis Rataj.
Echinodorus aschersonianus Graebn.
Echinodorus bolivianus (Rusby) Hom-Niels
Echinodorus cordifolius (L.) Griseb. 
Echinodorus floribundus (Seub.) Seub.
Echinodorus glandulosus Rataj
Echinodorus grandiflorus (Cham. & Schltdl.) Micheli
Echinodorus grisebachii Small
Echinodorus lanceolatus Rataj
Echinodorus longipetalus Micheli
Echinodorus longiscapus Arech.
Echinodorus macrophyllus (Kunth) Micheli 
Echinodorus palaefolius (Nees & Mart.) J.F. Macbr. 
Echinodorus paniculatus Micheli
Echinodorus pubescens (Mart.) Seub. and Warm.
Echinodorus ranunculoides (L.) Engelm.
Echinodorus reticulatus R.R. Haynes and Holm-Niels.
Echinodorus scaber Rataj
Echinodorus subalatus (Mart.) Griseb.
Echinodorus tenellus (Mart. ex Schult. & Schult. f.) Buchenau 
Echinodorus teretoscapus R.R.Haynes & Holm-Niels. 
Helanthium tenellum (Mart.) Britton
Hydrocleys martii Seub. 
Hydrocleys nymphoides (Willd.) Buchenau
Hydrocleys parviflora Seub.
Limnocharis flava (L.) Buchenau
Limnocharis laforestii Griseb. 
Sagittaria guayanensis Kunth 
Sagittaria lancifolia L. 
Sagittaria montevidensis Cham. & Schltdl.
Sagittaria planitiana G. Agostini
Sagittaria rhombifolia Cham.
Sagittaria sprucei Micheli
Alstroemeria isabellana Herb. 
Alternanthera aquatica (Parodi) Chodat 
Alternanthera brasiliana (L.) Kuntze 
Alternanthera paronychioides A. St.-Hil.
Alternanthera philoxeroides (Mart.) Griseb.
Alternanthera pilosa Moq.
Alternanthera tenella Colla
Amaranthus spinosus L.
Amaranthus viridis L.
Atriplex montevidensis Spr.
Atriplex undulata (Moq.) Dietr.
Blutaparon portulacoides (A. St.-Hil.) Mears 
Chamissoa altissima (Jacq.) Kunth
Chenopodium ambrosioides L. 
Gomphrena demissa Mart.
Gomphrena elegans Mart.
Hebanthe paniculata Mart.
Pfaffia glomerata (Spreng.) Pedersen
Pfaffia pulverulenta (Mart.) Kuntze
Pfaffia iresinoides (Kunth) Spreng.
Salicornia ambigua Michx.
Salicornia gaudichaudiana Moq.
Crinum americanum L.
Hyppeastrum angustifolium Pax
Schinus terenbinthifolius Raddi.
Centella asiatica (L.) Urban 
Eryngium ebracteatum Lam.
Eryngium eburneum Decne.
Eryngium ekmanii H. Wolff
Eryngium pandanifolium Cham. & Schltdl. 
Hydrocotyle ranunculoides L. f. 
Hydrocotyle verticillata Thunb. 
Lilaeopsis attenuata (Hook. & Arn.) Fernald 
Lilaeopsis brasiliensis (Glaz.) Affolter
Lilaeopsis carolinensis J.M. Coult. & Rose 
Lilaeopsis tenuis A. W. Hill
Allamanda cathartica L.
Allamanda nobilis T. Moore
Ditassa hastata Decne.
Mandevilla clandestina J.F. Morales
Mandevilla hirsuta (A.Rich.) K. Schum. 
Mandevilla tenuifolia (Mikan) Woodson
Odontadenia nitida (Vahl) Müll. Arg. 
Oxypetalum pachyglossum Decne.
Oxypetalum tubatum Malme 
Rhabdadenia biflora (Jacq.) Müll. Arg.
Rhabdadenia madida (Vell.) Miers 
Rhabdanenia pohlii Mull. Arg.
Alocasia macrorrhiza (L.) Schott.
Colocasia esculenta (L.) Schott.
Dracontium longipes Engl. 
Landoltia punctata (G. Mey.) Les & D.J. Crawford
Lemna aequinoctialis Welw.
Lemna gibba L.
Lemna minuta L. 
Lemna valdiviana Phil. 
Montrichardia arborescens (L.) Schott
Montrichiardia linifera (Arruda) Schott
Philodendron brasiliense Engl.
Philodendron rudgeanum Schott
Pistia stratioides L.
Spirodela intermedia W. Koch
Urospatha sagittifolia (Rudge) Schott
Wolffia arrhiza (L.) Horkel ex Wimm.
Wolffia brasiliensis Wedd. 
Wolffia columbiana H. Karst.
Wolffiella lingulata (Hegelm.) Hegelm.
Wollffiella oblonga (Phil.) Hegelm. 
Wolffiella welwitschii (Hegelm.) Monod
Xanthosoma aristiguietae (Bunt.) Madison
Zantedeschia aethiopica (L.) Spr.
Hydrocotyle bonariensis Lam. 
Hydrocotyle leucocephala Cham. & Schltdl. 
Hydrolotyle pussilla A. Rich.
Hydrocotyle ranunculoides L.f.
Hydrocotyle verticillata Thumb. 
Bactris maraja Mart. 
Mauritia carana Wallace
Mauritiella armata (Mart.) Burret 
Aristolochia macroura Gomes
Roullinia montevidensis (Spr.) Malme
Acanthospermum australe (Loef.) Kuntze
Acanthospermum hispidum DC. 
Achyrocline alata (Kunth) DC. 
Acilepdopsis echitifolia (Mart. Ex DC.) H. Rob.
Acmella uliginosa (Sw.) Cass.
Adenostemma brasilianum (Pers.) Cass.
Ageratum conyzoides L.
Ambrosia artemisiaefolia L.
Aster squamatus (Spreng) Hier.
Baccharis microcephala Baker 
Baccharis penningtonii Heering.
Baccharis spicata (Lam.) Baill.
Baccharis usteri Heering
Baccharidastrum triplinerve (Less.) Cabrera
Barrosoa betonicaeformis (DC.) R.M.King & H.Rob.
Bidens laevis (L.) B.S.P. 
Blainvillea dichotoma (Murray) Stewart
Centratherum punctatum Cass.
Calea marginata S. F. Blake
