Lobelia fistulosa ok
Lobelia nummularioides ok
Lobelia xalapensis ok
Pratia hederacea,Pratia hederacea

Canna indica ok
Canna glauca ok
Aneilema umbrosum ok
Commelina erecta ok
Commelina nudiflora,Commelina nudiflora

Commelina schomburgkiana,Commelina schomburgkiana

Dichorisandra hexandra ok
Floscopa glabrata ok
Tripogandra diuretica ok
Cressa truxillensis ok
Evolvulus filipes ok
Evolvulus nummularius ok
Ipomoea alba ok
Ipomoea aquatica ok
Ipomoea batatas ok
Ipomoea cairica ok
Ipomoea carnea ok
Ipomoea cynanchifolia ok
Ipomoea fimbriosepala ok
Ipomoea fistulosa,Ipomoea fistulosa

Ipomoea indivisa ok
Ipomoea philomega ok
Ipomoea quamoclit ok
Ipomoea setifera ok
Ipomoea setosa ok
Ipomoea serpens,Ipomoea serpens

Ipomoea squamosa ok
Ipomoea subrevoluta ok
Ipomoea wrightii ok
Iseia luxurians ok
Jacquemontia heterantha ok
Merremia aegyptia ok
Merremia umbellata ok
Operculina hamiltonii ok
Tetralocularia pennellii ok
Costus arabicus ok
Crassula peduncularis ok
Cyclanthera hystrix ok
Elaterium amazonicum,Elaterium amazonicum

Fevillea trilobata ok
Gurania bignoniacea ok
Gurania tricuspidata ok
Luffa operculata ok
Momordica charantia ok
Halodule emarginata ok
Halodule wrightii ok
Abildgaardia ovata ok
Becquerelia cymosa ok
Becquerelia muricata ok
Bulbostylis capillaris ok
Bulbostylis hirtella ok
Bulbostylis junciformis ok
Bulbostylis juncoides ok
Bulbostylis sellowiana ok
Bulbostylis truncata ok
Calyptrocarya longifolia,Calyptrocarya longifolia

Carex brasiliensis ok
Carex pseudocyperus ok
Cladium jamaicense,Cladium jamaicense

Cyperus aggregatus ok
Cyperus amabilis ok
Cyperus articulatus ok
Cyperus aristatus,Cyperus aristatus

Cyperus barrosianus ok
Cyperus berroi ok
Cyperus brevifolius ok
Cyperus cayennensis,Cyperus cayennensis

Cyperus celluloso-reticulatus,Cyperus celluloso-reticulatus

Cyperus chalaranthus ok
Cyperus compressus ok
Cyperus cornelii-ostenii ok
Cyperus corymbosus ok
Cyperus cuspidatus ok
Cyperus diffusus,Cyperus diffusus

Cyperus digitatus ok
Cyperus distans ok
Cyperus eragrostis ok
Cyperus esculentus ok
Cyperus fistulosus,Cyperus fistulosus

Cyperus gardneri ok
Cyperus giganteus ok
Cyperus haspan ok
Cyperus hermaphroditus ok
Cyperus imbricatus ok
Cyperus intricatus ok
Cyperus involucratus,Cyperus involucratus

Cyperus iria ok
Cyperus laetus,Cyperus laetus

Cyperus lanceolatus ok
Cyperus laxus ok
Cyperus ligularis ok
Cyperus luzulae ok
Cyperus megapotamicus ok
Cyperus mundtii ok
Cyperus obtusatus ok
Cyperus odoratus ok
Cyperus papyrus ok
Cyperus polystachyus,Cyperus polystachyus

Cyperus prolixus ok
Cyperus reflexus ok
Cyperus rigens ok
Cyperus rotundus ok
Cyperus sesquiflorus ok
Cyperus surinamensis ok
Cyperus uncinulatus ok
Cyperus virens ok
Dialium guianense ok
Diplacrum longifolium,Diplacrum longifolium

Eleocharis acutangula ok
Eleocharis atropurpurea ok
Eleocharis barrosii ok
Eleocharis bonariensis ok
Eleocharis capillacea ok
Eleocharis debilis ok
Eleocharis elata,Eleocharis elata

Eleocharis elegans ok
Eleocharis elongata ok
Eleocharis filiculmis ok
Eleocharis fistulosa,Eleocharis fistulosa

Eleocharis flavescens ok
Eleocharis geniculata ok
Eleocharis interstincta ok
Eleocharis maculosa ok
Eleocharis minarum ok
Eleocharis minima ok
Eleocharis montana ok
Eleocharis mutata ok
Eleocharis nana ok
Eleocharis nodulosa,Eleocharis nodulosa

Eleocharis nudipes ok
Eleocharis radicans ok
Eleocharis retroflexa ok
Eleocharis sellowiana ok
Eleocharis subarticulata ok
Fimbristylis aestivalis ok
Fimbristylis autumnalis ok
Fimbristylis complanata ok
Fimbristylis cymosa ok
Fimbristylis dichotoma ok
Fimbristylis diphylla,Fimbristylis diphylla

Fimbristylis miliacea ok
Fimbristylis spadicea ok
Fimbristylis squarrosa ok
Fuirena incompleta ok
Fuirena robusta ok
Fuirena umbellata ok
Hyparrhenia rufa ok
Kyllinga odorata,Kyllinga odorata

Kyllinga pumila,Kyllinga pumila

Lipocarpha humboldtiana,Lipocarpha humboldtiana

Lipocarpha micrantha,Lipocarpha micrantha

Lipocarpha salzmanniana,Lipocarpha salzmanniana

Lipocarpha sellowiana,Lipocarpha sellowiana

Pycreus flavescens,Pycreus flavescens

Pycreus macrostachyos,Pycreus macrostachyos

Pycreus polystachyos,Pycreus polystachyos

Rhynchospora barbata ok
Rhynchospora brittonii ok
Rhynchospora cephalotes ok
Rhynchospora contracta ok
Rhynchospora corymbosa ok
Rhynchospora cyperoides,Rhynchospora cyperoides

Rhynchospora gigantea ok
Rhynchospora holoschoenoides ok
Rhynchospora marisculus ok
Rhynchospora nervosa ok
Rhynchospora pubera ok
Rhynchospora riparia ok
Rhynchospora schomburgkiana ok
Rhynchospora subplumosa ok
Rhynchospora tenerrima ok
Rhynchospora tenuis ok
Rhynchospora trispicata ok
