yperus haspan
yperus hermaphroditus
yperus imbricatus
yperus intricatus
yperus involucratus
yperus iria
yperus laetus
yperus lanceolatus
yperus laxus
yperus ligularis
yperus luzulae
yperus megapotamicus
yperus mundtii
yperus obtusatus
yperus odoratus
yperus papyrus
yperus polystachyus
yperus prolixus
yperus reflexus
yperus rigens
yperus rotundus
yperus sesquiflorus
yperus surinamensis
yperus uncinulatus
yperus virens
ialium guianense
iplacrum longifolium
leocharis acutangula
leocharis atropurpurea
leocharis barrosii
leocharis bonariensis
leocharis capillacea
leocharis debilis
leocharis elata
leocharis elegans
leocharis elongata
leocharis equisetoides
leocharis filiculmis
leocharis fistulosa
leocharis flavescens
leocharis geniculata
leocharis interstincta
leocharis maculosa
leocharis minarum
leocharis minima
leocharis montana
leocharis mutata
leocharis nana
leocharis nodulosa
leocharis nudipes
leocharis radicans
leocharis retroflexa
leocharis sellowiana
leocharis subarticulata
leocharis umbellata
imbristylis aestivalis
imbristylis autumnalis
imbristylis complanata
imbristylis cymosa
imbristylis dichotoma
imbristylis diphylla
imbristylis miliacea
imbristylis spadicea
imbristylis squarrosa
uirena incompleta
uirena robusta
uirena umbellata
yparrhenia rufa
yllinga odorata
yllinga pumila
ipocarpha humboldtiana
ipocarpha micrantha
ipocarpha salzmanniana
ipocarpha sellowiana
xycaryum cubense (Poepp.
ycreus flavescens
ycreus macrostachyos
ycreus polystachyos
hynchospora barbata
hynchospora brittonii
hynchospora cephalotes
hynchospora contracta
hynchospora corymbosa
hynchospora cyperoides
hynchospora gigantea
hynchospora holoschoenoides
hynchospora marisculus
hynchospora nervosa
hynchospora pubera
hynchospora riparia
hynchospora schomburgkiana
hynchospora subplumosa
hynchospora tenerrima
hynchospora tenuis
hynchospora trispicata
hynchospora velutina
choenoplectus californicus
cirpus americanus
cirpus californicus
cirpus cubensis
cirpus giganteus
cirpus maritimus
cirpus submersus
cleria bracteata
cleria distans
cleria hirtella
cleria melaleuca
cleria microcarpa
cleria mitis
cleria pterota
cleria secans
cleria soronia
ebsteria confervoides
ioscorea marginata
rosera communis
rosera intermedia
latine lindbergii
quisetum giganteum
quisetum hyemale
garista chlorantha
aylussacia brasiliensis
riocaulon angustifolium
riocaulon aquatile
riocaulon humboldtii
riocaulon magnificum
riocaulon modestum
riocaulon obtusum
riocaulon setaceum
eiothrix pilulifera
eiothrix rufula
aepalanthus bifidus
aepalanthus lamarckii
aepalanthus planifolius
aepalanthus tortilis
yngonanthus anomalus
yngonanthus caulescens
yngonanthus chrysanthus
yngonanthus glandulosus
yngonanthus gracilis
yngonanthus oblongus
yngonanthus xeranthemoides
onina fluviatilis
calypha arvensis
calypha poiretii
rgythamnia heteropetala
straea lobata
aperonia castaneifolia
aperonia histrix
aperonia palustris
roton trinitatis
alechampia scandens
alechampia tiliifolia
uphorbia hirta L.
uphorbia hyssopifolia L.
uphorbia prostrata
uphorbia thymifolia
apium glandulatum
esbania schottiana
onina fluviatilis
desmia latifolia
eschynomene americana
eschynomene ciliata
eschynomene denticulata
eschynomene evenia
eschynomene filosa
eschynomene fluminensis
eschynomene indica
eschynomene mollicula
eschynomene montevidensis
eschynomene paniculata
eschynomene rudis
eschynomene scabra
eschynomene sensitiva
Aeschynomene virginica
nadenanthera colubrina
alopogonium mucunoides
entrosema brasilianum
entrosema pubescens
hamaecrista calycioides
hamaecrista diphylla
hamaecrista hispidula
hamaecrista nictitans
hamaecrista repens
litoria falcata
litoria guianensis
litoria laurifolia
ollaea speciosa
rotalaria brevifolia
rotalaria micans
rotalaria nitens
rotalaria pallida
rotalaria pilosa
rotalaria sagittalis
ymbosema roseum
albergia ecastophyllum
esmodium adscendens
esmodium barbatum
esmodium incanum
esmodium tortuosum
ioclea grandiflora
ioclea guianensis
iscolobium leptophyllum
iscolobium psoraliaefolium
iscolobium pulchellum
riosema simplicifolium
rythrina crista-galli
ndigofera hirsuta
ndigofera lespedezioides
ndigofera sabulicola
nga affinis
nga marginata
nga sessilis
nga uruguensis
onchocarpus sericeus
acrolobium multijugum
acroptilium gracile
acroptilium lathyroides
imosa bimucronata
imosa debilis
imosa dormiens
imosa invisa
imosa pellita
imosa pigra
imosa pudica
imosa setosa
eptunia oleracea
eptunia plena (L.)
eptunia prostrata
hynchosia minima
enna corymbosa
enna obtusifolia (L.)
enna occidentalis
enna reticulata
enna uniflora
esbania exasperata
esbania punicea
tylosanthes angustifolia
tylosanthes gracilis
tylosanthes guianensis
tylosanthes scabra Vogel
tylosanthes viscosa
ephrosia purpurea
eramnus volubilis
achellia farnesiana
igna juruana
igna lasiocarpa
igna longifolia
igna luteola
ornia guanipensis
ornia latifolia
outoubea ramosa
outoubea spicata Aubl.
urtia tenuifolia
rlbachia alata
rlbachia purpurascens
chultesia benthamiana
chultesia brachyptera
chultesia gracilis Mart.
chultesia guianensis
chultesia optera
rymonia coccinea
inningia elatior
chiekia orinocensis
aurembergia tetrandra
yriophyllum aquaticum
yriophyllum elatinoides
roserpinaca palustris
eliconia marginata
eliconia psittacorum
palanthe granatensis
geria densa
geria najas
lodea canadensis
alophila decipiens
ydrilla verticillata
imnobium laevigatum
ajas argurta
ajas conferta
ajas guadalupensis
ajas marina
ajas microcarpa
ajas microdon
ttelia brasiliensis
ydrolea elatior
ydrolea spinosa
ypericum brasiliense
ypericum mutilum
ismia cayennensis
urculigo scorzonerifolia
ypoxis decumbens
ipura paludosa
isyrinchium micranthum
isyrinchium vaginatum
soetes brasiliensis
soetes ekmanii
uncus acutus
uncus bufonius
uncus capillaceus
uncus densiflorus
uncus dichotomus
uncus dombeyanus
uncus effusus
uncus marginatus
uncus microcephalus
uncus sellowianus
uncus scirpoides
ilaea scilloides
riglochin striata
yptis atrorubens
yptis brevipes
yptis caespitosa
yptis dilatata
yptis fasciculata
yptis lacustris
yptis lagenaria
yptis lantaniifolia
yptis lappacea
yptis lorentziana
yptis mutabilis
yptis parkeri
yptis recurvata
yptis spicigera
yptis suaveolens
yptis tetracephala
yptis vilis
arsypianthes chamaedrys
cimum campechianum
runella vulgaris
alvia arenaria
alvia scabrida
cutellaria minor
itex cymosa
itex megapotamica
assytha filiformis
enlisea filiformis
tricularia adpressa
tricularia breviscapa
tricularia cucculata
tricularia erectiflora
tricularia fimbriata
tricularia foliosa
tricularia gibba
tricularia guyanensis
tricularia hydrocarpa
tricularia inflata
tricularia juncea
tricularia laciniata
tricularia laxa
tricularia myriocista
tricularia nana
tricularia neottioides
tricularia nervosa
tricularia nigrescens
tricularia olivacea
tricularia physoceras
tricularia praelonga
tricularia poconensis
tricularia pusilla
tricularia reniformis
tricularia simulans
tricularia subulata
tricularia trichophylla
tricularia tricolor
tricularia triloba
tricularia warmingii
indernia crustacea
indernia diffusa
indernia microcalyx
indernia rotundifolia
orenia thouarsii
pigelia anthelmia
mmannia auriculata
mmannia latifolia
uphea antisyphilitica
uphea arenarioides
uphea campestris
uphea carthagenensis
uphea circaeoides
uphea fruticosa
uphea ingrata
uphea melvilla
uphea racemosa
uphea repens
uphea sessiliflora
eimia myrtifolia
ythrum hyssopifolia
leurophora anomala
otala mexicana
otala ramosior (L.)
otala rotundifolia
yrsonima intermedia
yttneria genistella
yttneria palustris
yttneria ramosissima
yttneria scabra
orchorus argutus
orchorus hirtus
elicteres guazumifolia
ibiscus bifurcatus
ibiscus cisplatinus
ibiscus dimidiatus
ibiscus diversifolius
ibiscus furcellatus
ibiscus sororius
ibiscus striatus
alachra radiata
elochia arenosa
elochia graminifolia
elochia hirsuta
elochia simplex
elochia spicata
onteiroa ptarmicifolia
avonia angustifolia
avonia cancellata
avonia grandiflora
avonia laetevirens
avonia sessiliflora
ida acuta
ida anomala
ida galheirensis
ida rhombifolia
ida setosa
ida spinosa
idastrum multiflorum
riumfetta althaeoides
rena lobata
altheria americana
altheria indica
alathea capitata
alathea comosa
alathea lanata
alathea loeseneri
alathea micans
schnosiphon polyphyllus
halia multiflora
halia geniculata
ayaca fluviatilis
ayaca kunthii
ayaca longipes
ayaca sellowiana
ciotis acuminifolia
ciotis ornata
cisanthera alsinaefolia
cisanthera divaricarta
cisanthera fluitans
cisanthera limnobios
cisanthera variabilis
ambessedesia hilariana
lidemia capitellata
lidemia hirta
omolia villosa
esmoscelis villosa (Aubl.)
avoisiera umbricata
eandra multiplinervis
aicarea radula
iconia chamissois
icrolepis oleifolia
